modality,run_id,learning_rate,dropout,weight_decay,batch_size,lambda_gaze_pred,bert_freeze_epochs,val_accuracy,val_precision,val_recall,val_f1,val_auc,best_epoch
image_only,hparam_image_only_r1_20260317_235215,5e-05,0.4,0.001,16,N/A,N/A,75.5319,89.3617,70.0,78.5047,0.802451,18
image_only,hparam_image_only_r2_20260318_003519,5e-05,0.3,0.01,32,N/A,N/A,84.0426,86.8852,88.3333,87.6033,0.903922,20
image_only,hparam_image_only_r3_20260318_011309,1e-05,0.4,0.1,16,N/A,N/A,81.9149,86.4407,85.0,85.7143,0.918627,9
image_only,hparam_image_only_r4_20260318_015647,5e-05,0.2,0.001,16,N/A,N/A,79.7872,82.5397,86.6667,84.5528,0.904902,16
image_only,hparam_image_only_r5_20260318_024040,5e-05,0.3,0.01,16,N/A,N/A,75.5319,84.9057,75.0,79.646,0.836275,20
image_only,hparam_image_only_r6_20260318_032443,1e-05,0.2,0.1,32,N/A,N/A,79.7872,80.597,90.0,85.0394,0.892157,17
image_only,hparam_image_only_r7_20260318_040711,0.0001,0.3,0.1,32,N/A,N/A,46.8085,85.7143,20.0,32.4324,0.637255,18
image_only,hparam_image_only_r8_20260318_045008,0.0001,0.4,0.1,16,N/A,N/A,64.8936,73.6842,70.0,71.7949,0.718627,16
image_only,hparam_image_only_r9_20260318_053407,0.0001,0.3,0.001,16,N/A,N/A,36.1702,0.0,0.0,0.0,0.680392,3
image_only,hparam_image_only_r10_20260318_061709,1e-05,0.3,0.01,16,N/A,N/A,78.7234,87.037,78.3333,82.4561,0.887745,14
image_only,hparam_image_only_r11_20260318_070137,1e-05,0.3,0.1,16,N/A,N/A,81.9149,90.566,80.0,84.9558,0.889706,14
image_only,hparam_image_only_r12_20260318_074420,5e-05,0.4,0.1,16,N/A,N/A,71.2766,77.9661,76.6667,77.3109,0.798039,20
image_only,hparam_image_only_r13_20260318_082836,0.0001,0.3,0.001,32,N/A,N/A,52.1277,85.7143,30.0,44.4444,0.748039,9
image_only,hparam_image_only_r14_20260318_091220,1e-05,0.3,0.1,32,N/A,N/A,78.7234,87.037,78.3333,82.4561,0.885294,10
image_only,hparam_image_only_r15_20260318_095507,1e-05,0.2,0.1,16,N/A,N/A,77.6596,77.4648,91.6667,83.9695,0.891667,8
image_only,hparam_image_only_r16_20260318_104004,5e-05,0.2,0.01,32,N/A,N/A,76.5957,86.5385,75.0,80.3571,0.84902,20
image_only,hparam_image_only_r17_20260318_112325,1e-05,0.4,0.1,32,N/A,N/A,80.8511,88.8889,80.0,84.2105,0.902451,14
image_only,hparam_image_only_r18_20260318_120655,0.0001,0.2,0.1,32,N/A,N/A,74.4681,83.3333,75.0,78.9474,0.860294,18
image_only,hparam_image_only_r19_20260318_125104,1e-05,0.2,0.001,16,N/A,N/A,78.7234,85.7143,80.0,82.7586,0.892647,17
image_only,hparam_image_only_r20_20260318_133624,0.0001,0.3,0.01,16,N/A,N/A,61.7021,77.2727,56.6667,65.3846,0.692157,20
image_gaze,hparam_image_gaze_r1_20260318_142115,5e-05,0.3,0.1,16,0.5,N/A,78.7234,84.4828,81.6667,83.0508,0.863235,16
image_gaze,hparam_image_gaze_r2_20260318_145947,0.0001,0.2,0.001,32,0.5,N/A,73.4043,85.7143,70.0,77.0642,0.857353,17
image_gaze,hparam_image_gaze_r3_20260318_153921,1e-05,0.4,0.001,16,0.7,N/A,81.9149,86.4407,85.0,85.7143,0.893627,16
image_gaze,hparam_image_gaze_r4_20260318_161911,5e-05,0.3,0.001,32,0.7,N/A,75.5319,93.0233,66.6667,77.6699,0.881863,17
image_gaze,hparam_image_gaze_r5_20260318_165950,0.0001,0.3,0.1,16,0.5,N/A,76.5957,82.7586,80.0,81.3559,0.793627,17
image_gaze,hparam_image_gaze_r6_20260318_174229,0.0001,0.4,0.01,32,0.7,N/A,63.8298,80.9524,56.6667,66.6667,0.775,19
image_gaze,hparam_image_gaze_r7_20260318_182644,5e-05,0.2,0.1,16,0.3,N/A,85.1064,91.0714,85.0,87.931,0.904412,17
image_gaze,hparam_image_gaze_r8_20260318_191142,5e-05,0.4,0.001,32,0.7,N/A,79.7872,91.8367,75.0,82.5688,0.89902,12
image_gaze,hparam_image_gaze_r9_20260318_195646,5e-05,0.4,0.001,16,0.3,N/A,79.7872,84.7458,83.3333,84.0336,0.9,15
image_gaze,hparam_image_gaze_r10_20260318_204158,5e-05,0.2,0.001,16,0.5,N/A,81.9149,85.2459,86.6667,85.9504,0.905392,18
image_gaze,hparam_image_gaze_r11_20260318_212418,5e-05,0.3,0.1,16,0.7,N/A,80.8511,86.2069,83.3333,84.7458,0.90049,20
image_gaze,hparam_image_gaze_r12_20260318_220544,0.0001,0.4,0.01,16,0.7,N/A,63.8298,63.8298,100.0,77.9221,0.673775,1
image_gaze,hparam_image_gaze_r13_20260318_224750,5e-05,0.4,0.01,32,0.3,N/A,84.0426,90.9091,83.3333,86.9565,0.916176,18
image_gaze,hparam_image_gaze_r14_20260318_233202,0.0001,0.4,0.1,16,0.5,N/A,59.5745,82.3529,46.6667,59.5745,0.669608,20
image_gaze,hparam_image_gaze_r15_20260319_001442,5e-05,0.2,0.001,16,0.3,N/A,80.8511,88.8889,80.0,84.2105,0.897059,20
image_gaze,hparam_image_gaze_r16_20260319_005820,0.0001,0.2,0.1,32,0.3,N/A,69.1489,80.3922,68.3333,73.8739,0.781863,20
image_gaze,hparam_image_gaze_r17_20260319_014151,1e-05,0.4,0.001,32,0.5,N/A,79.7872,83.6066,85.0,84.2975,0.873039,20
image_gaze,hparam_image_gaze_r18_20260319_022551,5e-05,0.3,0.01,32,0.3,N/A,81.9149,84.127,88.3333,86.1789,0.883333,14
image_gaze,hparam_image_gaze_r19_20260319_030951,5e-05,0.3,0.1,16,0.3,N/A,77.6596,84.2105,80.0,82.0513,0.877941,20
image_gaze,hparam_image_gaze_r20_20260319_035431,5e-05,0.3,0.01,16,0.3,N/A,79.7872,87.2727,80.0,83.4783,0.873039,17
image_text,hparam_image_text_r1_20260319_043917,5e-05,0.3,0.001,32,N/A,5,94.6809,95.082,96.6667,95.8678,0.980392,12
image_text,hparam_image_text_r2_20260319_052458,1e-05,0.2,0.01,16,N/A,10,84.0426,94.1176,80.0,86.4865,0.934804,8
image_text,hparam_image_text_r3_20260319_060829,5e-05,0.2,0.001,32,N/A,10,93.617,95.0,95.0,95.0,0.97549,16
image_text,hparam_image_text_r4_20260319_065339,5e-05,0.4,0.1,16,N/A,3,95.7447,96.6667,96.6667,96.6667,0.977451,8
image_text,hparam_image_text_r5_20260319_073709,0.0001,0.2,0.01,16,N/A,3,91.4894,90.625,96.6667,93.5484,0.979902,6
image_text,hparam_image_text_r6_20260319_082059,5e-05,0.2,0.01,32,N/A,5,93.617,93.5484,96.6667,95.082,0.986275,17
image_text,hparam_image_text_r7_20260319_090604,1e-05,0.3,0.1,16,N/A,3,90.4255,90.4762,95.0,92.6829,0.95098,12
image_text,hparam_image_text_r8_20260319_095050,5e-05,0.3,0.001,32,N/A,10,93.617,96.5517,93.3333,94.9153,0.977941,13
image_text,hparam_image_text_r9_20260319_103610,0.0001,0.4,0.001,16,N/A,3,93.617,92.1875,98.3333,95.1613,0.982353,7
